Date,Power-1,solarRad_W/m2,temp_C,Hour,DayOfWeek,Day_Night,sin_hour,cos_hour,sin_dayofweek,Month,Power-2,Delta_Power,Power-3,Power-24
2019-03-19 23:00:00,108.733,1.1399166666666667,14.320833333333333,23,1,0,-0.25881904510252157,0.9659258262890681,0.7818314824680298,3,115.322,-6.588999999999999,147.223,120.965
2019-03-20 00:00:00,109.051,0.9348333333333332,13.740833333333333,0,2,0,0.0,1.0,0.9749279121818236,3,108.733,0.31799999999999784,115.322,121.712
2019-03-20 01:00:00,110.297,0.9044166666666666,13.580833333333333,1,2,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,3,109.051,1.2459999999999951,108.733,116.625
2019-03-20 02:00:00,107.119,0.8285833333333333,13.676666666666668,2,2,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,3,110.297,-3.1779999999999973,109.051,118.918
2019-03-20 03:00:00,111.186,0.8814166666666666,13.035833333333334,3,2,0,0.7071067811865475,0.7071067811865476,0.9749279121818236,3,107.119,4.067000000000007,110.297,116.721
2019-03-20 04:00:00,105.482,0.96925,11.853333333333332,4,2,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,3,111.186,-5.704000000000008,107.119,115.932
2019-03-20 05:00:00,110.91,1.0294166666666666,10.995,5,2,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,3,105.482,5.427999999999997,111.186,119.171
2019-03-20 06:00:00,106.172,6.90925,10.598333333333333,6,2,1,1.0,6.123233995736766e-17,0.9749279121818236,3,110.91,-4.7379999999999995,105.482,125.434
2019-03-20 07:00:00,114.525,133.85166666666666,10.915833333333332,7,2,1,0.9659258262890683,-0.25881904510252063,0.9749279121818236,3,106.172,8.353000000000009,110.91,170.422
2019-03-20 08:00:00,174.152,338.0833333333333,11.884166666666667,8,2,1,0.8660254037844387,-0.4999999999999998,0.9749279121818236,3,114.525,59.62699999999998,106.172,296.83
2019-03-20 09:00:00,218.477,534.6083333333333,12.426666666666668,9,2,1,0.7071067811865476,-0.7071067811865475,0.9749279121818236,3,174.152,44.32500000000002,114.525,286.331
2019-03-20 10:00:00,248.898,690.8666666666667,13.646666666666668,10,2,1,0.49999999999999994,-0.8660254037844387,0.9749279121818236,3,218.477,30.420999999999992,174.152,316.308
2019-03-20 11:00:00,273.892,793.75,15.249166666666667,11,2,1,0.258819045102521,-0.9659258262890682,0.9749279121818236,3,248.898,24.994,218.477,325.485
2019-03-20 12:00:00,388.014,837.75,16.200833333333332,12,2,1,1.2246467991473532e-16,-1.0,0.9749279121818236,3,273.892,114.12200000000001,248.898,328.344
2019-03-20 13:00:00,320.317,817.6666666666666,16.775833333333335,13,2,1,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,3,388.014,-67.697,273.892,309.089
2019-03-20 14:00:00,323.169,738.35,17.6125,14,2,1,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,3,320.317,2.8519999999999754,388.014,326.217
2019-03-20 15:00:00,318.976,603.5500000000001,17.700833333333332,15,2,1,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,3,323.169,-4.192999999999984,320.317,306.226
2019-03-20 16:00:00,299.046,425.2833333333333,17.611666666666668,16,2,1,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,3,318.976,-19.930000000000007,323.169,283.993
2019-03-20 17:00:00,273.597,219.4416666666667,17.440833333333334,17,2,1,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,3,299.046,-25.449000000000012,318.976,265.301
2019-03-20 18:00:00,271.024,42.1865,16.614166666666666,18,2,1,-1.0,-1.8369701987210297e-16,0.9749279121818236,3,273.597,-2.572999999999979,299.046,236.294
2019-03-20 19:00:00,251.969,1.0496666666666667,16.135,19,2,1,-0.9659258262890684,0.2588190451025203,0.9749279121818236,3,271.024,-19.055000000000007,273.597,195.619
2019-03-20 20:00:00,213.958,0.8191666666666667,15.405,20,2,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,3,251.969,-38.010999999999996,271.024,147.223
2019-03-20 21:00:00,169.081,0.8215833333333333,14.836666666666666,21,2,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,3,213.958,-44.87700000000001,251.969,115.322
2019-03-20 22:00:00,132.4,0.9829166666666668,14.800833333333332,22,2,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,3,169.081,-36.68099999999998,213.958,108.733
2019-03-20 23:00:00,112.209,0.9416666666666668,14.32,23,2,0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,3,132.4,-20.191000000000003,169.081,109.051
2019-03-21 00:00:00,110.458,0.74525,13.835833333333332,0,3,0,0.0,1.0,0.43388373911755823,3,112.209,-1.7510000000000048,132.4,110.297
2019-03-21 01:00:00,104.489,0.8376666666666667,13.264166666666668,1,3,0,0.25881904510252074,0.9659258262890683,0.43388373911755823,3,110.458,-5.968999999999994,112.209,107.119
2019-03-21 02:00:00,104.876,0.7476666666666666,12.8775,2,3,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,3,104.489,0.38700000000000045,110.458,111.186
2019-03-21 03:00:00,105.72,1.2855,11.9325,3,3,0,0.7071067811865475,0.7071067811865476,0.43388373911755823,3,104.876,0.8439999999999941,104.489,105.482
2019-03-21 04:00:00,103.443,1.0385,10.971666666666666,4,3,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,3,105.72,-2.277000000000001,104.876,110.91
2019-03-21 05:00:00,107.356,0.92775,10.163333333333334,5,3,0,0.9659258262890683,0.25881904510252074,0.43388373911755823,3,103.443,3.9129999999999967,105.72,106.172
2019-03-21 06:00:00,101.668,8.022583333333333,9.856666666666667,6,3,1,1.0,6.123233995736766e-17,0.43388373911755823,3,107.356,-5.687999999999988,103.443,114.525
2019-03-21 07:00:00,110.68,138.4725,10.143333333333333,7,3,1,0.9659258262890683,-0.25881904510252063,0.43388373911755823,3,101.668,9.012,107.356,174.152
2019-03-21 08:00:00,168.28,378.3416666666667,10.955833333333333,8,3,1,0.8660254037844387,-0.4999999999999998,0.43388373911755823,3,110.68,57.599999999999994,101.668,218.477
2019-03-21 09:00:00,209.097,541.6999999999999,11.722499999999998,9,3,1,0.7071067811865476,-0.7071067811865475,0.43388373911755823,3,168.28,40.81700000000001,110.68,248.898
2019-03-21 10:00:00,235.627,687.275,13.175,10,3,1,0.49999999999999994,-0.8660254037844387,0.43388373911755823,3,209.097,26.53,168.28,273.892
2019-03-21 11:00:00,289.133,788.9166666666666,14.066666666666668,11,3,1,0.258819045102521,-0.9659258262890682,0.43388373911755823,3,235.627,53.50599999999997,209.097,388.014
2019-03-21 12:00:00,404.041,834.4166666666666,15.329166666666666,12,3,1,1.2246467991473532e-16,-1.0,0.43388373911755823,3,289.133,114.90800000000002,235.627,320.317
2019-03-21 13:00:00,317.431,815.5,17.25916666666667,13,3,1,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,3,404.041,-86.61000000000001,289.133,323.169
2019-03-21 14:00:00,317.676,746.1666666666666,17.5825,14,3,1,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,3,317.431,0.24500000000000455,404.041,318.976
2019-03-21 15:00:00,330.38,456.35,18.066666666666663,15,3,1,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,3,317.676,12.704000000000008,317.431,299.046
2019-03-21 16:00:00,299.203,389.4333333333333,18.401666666666667,16,3,1,-0.8660254037844384,-0.5000000000000004,0.43388373911755823,3,330.38,-31.17700000000002,317.676,273.597
2019-03-21 17:00:00,280.389,206.0583333333333,17.47,17,3,1,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,3,299.203,-18.813999999999965,330.38,271.024
2019-03-21 18:00:00,274.593,38.60333333333333,15.361666666666666,18,3,1,-1.0,-1.8369701987210297e-16,0.43388373911755823,3,280.389,-5.795999999999992,299.203,251.969
2019-03-21 19:00:00,237.011,2.43875,14.165833333333332,19,3,1,-0.9659258262890684,0.2588190451025203,0.43388373911755823,3,274.593,-37.58200000000002,280.389,213.958
2019-03-21 20:00:00,192.387,0.7776666666666667,13.910833333333334,20,3,1,-0.8660254037844386,0.5000000000000001,0.43388373911755823,3,237.011,-44.623999999999995,274.593,169.081
2019-03-21 21:00:00,160.598,0.6599166666666666,13.7875,21,3,0,-0.7071067811865477,0.7071067811865474,0.43388373911755823,3,192.387,-31.788999999999987,237.011,132.4
2019-03-21 22:00:00,116.357,0.847,13.77,22,3,0,-0.5000000000000004,0.8660254037844384,0.43388373911755823,3,160.598,-44.241000000000014,192.387,112.209
2019-03-21 23:00:00,109.821,1.036166666666667,13.5875,23,3,0,-0.25881904510252157,0.9659258262890681,0.43388373911755823,3,116.357,-6.536000000000001,160.598,110.458
2019-03-22 00:00:00,107.061,1.05925,13.456666666666663,0,4,0,0.0,1.0,-0.433883739117558,3,109.821,-2.759999999999991,116.357,104.489
2019-03-22 01:00:00,109.837,0.794,13.472500000000002,1,4,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,3,107.061,2.7759999999999962,109.821,104.876
2019-03-22 02:00:00,106.827,1.0200833333333332,12.990833333333333,2,4,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,3,109.837,-3.010000000000005,107.061,105.72
2019-03-22 03:00:00,108.545,0.6508333333333333,12.7125,3,4,0,0.7071067811865475,0.7071067811865476,-0.433883739117558,3,106.827,1.7180000000000035,109.837,103.443
2019-03-22 04:00:00,106.318,1.010916666666667,11.419166666666667,4,4,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,3,108.545,-2.227000000000004,106.827,107.356
2019-03-22 05:00:00,106.95,1.5093333333333332,10.655833333333334,5,4,0,0.9659258262890683,0.25881904510252074,-0.433883739117558,3,106.318,0.632000000000005,108.545,101.668
2019-03-22 06:00:00,103.439,8.714500000000001,10.143333333333333,6,4,1,1.0,6.123233995736766e-17,-0.433883739117558,3,106.95,-3.51100000000001,106.318,110.68
2019-03-22 07:00:00,109.078,137.3325,10.440833333333332,7,4,1,0.9659258262890683,-0.25881904510252063,-0.433883739117558,3,103.439,5.63900000000001,106.95,168.28
2019-03-22 08:00:00,161.261,341.4166666666667,10.873333333333331,8,4,1,0.8660254037844387,-0.4999999999999998,-0.433883739117558,3,109.078,52.18299999999999,103.439,209.097
2019-03-22 09:00:00,197.221,536.75,12.33,9,4,1,0.7071067811865476,-0.7071067811865475,-0.433883739117558,3,161.261,35.96000000000001,109.078,235.627
2019-03-22 10:00:00,238.545,692.4499999999999,13.410833333333334,10,4,1,0.49999999999999994,-0.8660254037844387,-0.433883739117558,3,197.221,41.323999999999984,161.261,289.133
2019-03-22 11:00:00,260.502,797.6666666666666,14.983333333333334,11,4,1,0.258819045102521,-0.9659258262890682,-0.433883739117558,3,238.545,21.957000000000022,197.221,404.041
2019-03-22 12:00:00,383.997,838.4166666666666,15.9875,12,4,1,1.2246467991473532e-16,-1.0,-0.433883739117558,3,260.502,123.495,238.545,317.431
2019-03-22 13:00:00,299.962,816.9166666666666,17.107499999999998,13,4,1,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,3,383.997,-84.03500000000003,260.502,317.676
2019-03-22 14:00:00,288.577,733.875,18.3925,14,4,1,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,3,299.962,-11.384999999999991,383.997,330.38
2019-03-22 15:00:00,304.302,599.3166666666667,18.739166666666662,15,4,1,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,3,288.577,15.725000000000023,299.962,299.203
2019-03-22 16:00:00,299.357,422.10833333333335,18.64583333333333,16,4,1,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,3,304.302,-4.944999999999993,288.577,280.389
2019-03-22 17:00:00,261.97,217.83333333333331,18.53833333333333,17,4,1,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,3,299.357,-37.387,304.302,274.593
2019-03-22 18:00:00,243.003,43.101416666666665,18.030833333333334,18,4,1,-1.0,-1.8369701987210297e-16,-0.433883739117558,3,261.97,-18.96700000000004,299.357,237.011
2019-03-22 19:00:00,208.932,1.1489166666666666,17.62666666666667,19,4,1,-0.9659258262890684,0.2588190451025203,-0.433883739117558,3,243.003,-34.071,261.97,192.387
2019-03-22 20:00:00,184.242,0.8859166666666667,16.51,20,4,1,-0.8660254037844386,0.5000000000000001,-0.433883739117558,3,208.932,-24.689999999999998,243.003,160.598
2019-03-22 21:00:00,147.296,0.9483333333333334,16.0025,21,4,0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,3,184.242,-36.946,208.932,116.357
2019-03-22 22:00:00,125.933,0.6621666666666667,15.715833333333334,22,4,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,3,147.296,-21.362999999999985,184.242,109.821
2019-03-22 23:00:00,112.06,0.9875,15.385833333333332,23,4,0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,3,125.933,-13.873000000000005,147.296,107.061
2019-03-23 00:00:00,109.078,0.8629166666666667,15.273333333333332,0,5,0,0.0,1.0,-0.9749279121818236,3,112.06,-2.9819999999999993,125.933,109.837
2019-03-23 01:00:00,105.375,0.7454166666666667,14.564166666666669,1,5,0,0.25881904510252074,0.9659258262890683,-0.9749279121818236,3,109.078,-3.703000000000003,112.06,106.827
2019-03-23 02:00:00,107.226,1.1190833333333334,13.765833333333331,2,5,0,0.49999999999999994,0.8660254037844387,-0.9749279121818236,3,105.375,1.850999999999999,109.078,108.545
2019-03-23 03:00:00,103.918,0.9485,12.9875,3,5,0,0.7071067811865475,0.7071067811865476,-0.9749279121818236,3,107.226,-3.3079999999999927,105.375,106.318
2019-03-23 04:00:00,107.13,0.97375,12.349166666666669,4,5,0,0.8660254037844386,0.5000000000000001,-0.9749279121818236,3,103.918,3.211999999999989,107.226,106.95
2019-03-23 05:00:00,105.62,0.7915833333333334,12.0325,5,5,0,0.9659258262890683,0.25881904510252074,-0.9749279121818236,3,107.13,-1.509999999999991,103.918,103.439
