Date,Power_kW
2019-01-25 11:00:00,317.573
2019-01-25 12:00:00,286.17
2019-01-25 13:00:00,248.047
2019-01-25 14:00:00,285.683
2019-01-25 15:00:00,271.017
2019-01-25 16:00:00,258.877
2019-01-25 17:00:00,230.061
2019-01-25 18:00:00,210.473
2019-01-25 19:00:00,153.855
2019-01-25 20:00:00,127.88
2019-01-25 21:00:00,116.56
2019-01-25 22:00:00,102.921
2019-01-25 23:00:00,105.582
2019-01-26 00:00:00,103.404
2019-01-26 01:00:00,102.388
2019-01-26 02:00:00,104.47
2019-01-26 03:00:00,101.269
2019-01-26 04:00:00,98.965
2019-01-26 05:00:00,100.84
2019-01-26 06:00:00,98.417
2019-01-26 07:00:00,112.267
2019-01-26 08:00:00,112.861
2019-01-26 09:00:00,113.831
2019-01-26 10:00:00,114.429
2019-01-26 11:00:00,111.125
2019-01-26 12:00:00,110.956
2019-01-26 13:00:00,117.342
2019-01-26 14:00:00,115.211
2019-01-26 15:00:00,122.249
2019-01-26 16:00:00,119.175
2019-01-26 17:00:00,120.562
2019-01-26 18:00:00,120.535
2019-01-26 19:00:00,114.149
2019-01-26 20:00:00,114.287
2019-01-26 21:00:00,105.796
2019-01-26 22:00:00,100.249
2019-01-26 23:00:00,98.44
2019-01-27 00:00:00,104.416
2019-01-27 01:00:00,100.529
2019-01-27 02:00:00,97.666
2019-01-27 03:00:00,98.712
2019-01-27 04:00:00,101.154
2019-01-27 05:00:00,97.815
2019-01-27 06:00:00,97.708
2019-01-27 07:00:00,100.111
2019-01-27 08:00:00,96.922
2019-01-27 09:00:00,101.058
2019-01-27 10:00:00,103.347
2019-01-27 11:00:00,103.665
2019-01-27 12:00:00,101.361
2019-01-27 13:00:00,101.514
2019-01-27 14:00:00,107.847
2019-01-27 15:00:00,104.846
2019-01-27 16:00:00,105.892
2019-01-27 17:00:00,109.837
2019-01-27 18:00:00,110.04
2019-01-27 19:00:00,105.022
2019-01-27 20:00:00,105.102
2019-01-27 21:00:00,105.313
2019-01-27 22:00:00,100.671
2019-01-27 23:00:00,100.062
2019-01-28 00:00:00,100.445
2019-01-28 01:00:00,98.172
2019-01-28 02:00:00,97.01
2019-01-28 03:00:00,99.28
2019-01-28 04:00:00,105.11
2019-01-28 05:00:00,98.095
2019-01-28 06:00:00,101.959
2019-01-28 07:00:00,154.978
2019-01-28 08:00:00,202.335
2019-01-28 09:00:00,232.193
2019-01-28 10:00:00,275.283
2019-01-28 11:00:00,359.291
2019-01-28 12:00:00,292.215
2019-01-28 13:00:00,304.873
2019-01-28 14:00:00,307.226
2019-01-28 15:00:00,298.69
2019-01-28 16:00:00,282.482
2019-01-28 17:00:00,256.971
2019-01-28 18:00:00,229.847
2019-01-28 19:00:00,171.871
2019-01-28 20:00:00,140.557
2019-01-28 21:00:00,121.915
2019-01-28 22:00:00,109.748
2019-01-28 23:00:00,106.743
2019-01-29 00:00:00,109.208
2019-01-29 01:00:00,106.022
2019-01-29 02:00:00,104.861
2019-01-29 03:00:00,106.494
2019-01-29 04:00:00,103.742
2019-01-29 05:00:00,105.57
2019-01-29 06:00:00,115.717
2019-01-29 07:00:00,146.046
2019-01-29 08:00:00,192.801
2019-01-29 09:00:00,223.288
2019-01-29 10:00:00,253.813
2019-01-29 11:00:00,333.431
2019-01-29 12:00:00,304.773
2019-01-29 13:00:00,277.641
2019-01-29 14:00:00,317.032
2019-01-29 15:00:00,293.986
2019-01-29 16:00:00,288.861
2019-01-29 17:00:00,273.6
2019-01-29 18:00:00,235.493
2019-01-29 19:00:00,168.352
2019-01-29 20:00:00,151.647
2019-01-29 21:00:00,120.428
2019-01-29 22:00:00,112.551
2019-01-29 23:00:00,111.845
2019-01-30 00:00:00,110.366
2019-01-30 01:00:00,112.823
2019-01-30 02:00:00,107.586
2019-01-30 03:00:00,107.372
2019-01-30 04:00:00,107.115
2019-01-30 05:00:00,108.541
2019-01-30 06:00:00,112.708
2019-01-30 07:00:00,154.917
2019-01-30 08:00:00,197.053
2019-01-30 09:00:00,222.648
2019-01-30 10:00:00,255.879
2019-01-30 11:00:00,352.337
2019-01-30 12:00:00,303.964
2019-01-30 13:00:00,299.322
2019-01-30 14:00:00,313.762
2019-01-30 15:00:00,287.968
2019-01-30 16:00:00,280.73
2019-01-30 17:00:00,250.485
2019-01-30 18:00:00,225.105
2019-01-30 19:00:00,174.789
2019-01-30 20:00:00,146.939
2019-01-30 21:00:00,117.925
2019-01-30 22:00:00,106.728
2019-01-30 23:00:00,102.756
2019-01-31 00:00:00,103.88
2019-01-31 01:00:00,99.598
2019-01-31 02:00:00,100.767
2019-01-31 03:00:00,103.197
2019-01-31 04:00:00,98.908
2019-01-31 05:00:00,99.199
2019-01-31 06:00:00,112.347
2019-01-31 07:00:00,146.288
2019-01-31 08:00:00,194.457
2019-01-31 09:00:00,228.854
2019-01-31 10:00:00,255.373
2019-01-31 11:00:00,327.869
2019-01-31 12:00:00,290.456
2019-01-31 13:00:00,270.948
2019-01-31 14:00:00,296.57
2019-01-31 15:00:00,292.606
2019-01-31 16:00:00,277.365
2019-01-31 17:00:00,262.997
2019-01-31 18:00:00,223.982
2019-01-31 19:00:00,171.99
2019-01-31 20:00:00,148.799
2019-01-31 21:00:00,122.977
2019-01-31 22:00:00,112.167
2019-01-31 23:00:00,107.123
2019-02-01 00:00:00,88.493
2019-02-01 01:00:00,91.164
2019-02-01 02:00:00,88.056
2019-02-01 03:00:00,88.117
2019-02-01 04:00:00,89.758
